name;short_desc;start;end;location_place;location_state;location_country;location_cont_division;location_cont;location_other;type;field;casualties_low;casualties_high;range_type;dubious;time_bp_start;time_bp_end;duration;generations;curr_year;source;image;long_desc;
Anglo-Saxon settlement of Britain;;410;1066;;;Great Britain;;Europe;;Event;History;;;;;1613;957;656;80;2023;https://en.wikipedia.org/wiki/Anglo-Saxon_settlement_of_Britain;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/End.of.Roman.rule.in.Britain.383.410.jpg/1920px-End.of.Roman.rule.in.Britain.383.410.jpg;;
;Fall of the Western Roman Empire (Odoacer deposes Romulus Augustulus);476;;;;Rome;;Europe;;Event;History;;;;;1547;;;77;2023;;;;
;Julius Nepos assassinated (last Western Roman Emperor);480;;;;Dalmatia;;Europe;;Event;History;;;;;1543;;;77;2023;;;;
Francia;;481;843;;;France;;Europe;;Unit;History;;;;;1542;1180;362;77;2023;https://en.wikipedia.org/wiki/Francia;https://upload.wikimedia.org/wikipedia/commons/2/23/Franks_expansion.gif;;
Medieval music;;500;1400;;;;;Europe;;Period;History;;;;;1523;623;900;76;2023;;;;
;Volcanic winter of 536 (severe and protracted episode of climatic cooling in the Northern Hemisphere);536;;;;;;;;Event;History;;;;;1487;;;74;2023;;;;
;First plague pandemic (Yersinia pestis) — possibly kills 100 million Europeans and half of the world population;541;767;;;;;;;Event;History;;;;;1482;1256;226;74;2023;;;;
;The Plague of Justinian (outbreak of the First plague pandemic) kills 30-50 million people;541;549;;;Mediterranean;;;;Event;History;;;;;1482;1474;8;74;2023;;;;
;Justinian formally dissolves Western imperial court;554;;;;;;Europe;;Event;History;;;;;1469;;;73;2023;;;;
Prophet Muhammad;;570;632;;;Saudi Arabia;;Asia;;Person;History;;;;;1453;1391;62;72;2023;https://en.wikipedia.org/wiki/Muhammad;;;
Islam;;610;2023;;;Saudi Arabia;;Asia;;Religion;History;;;;;1413;0;1413;70;2023;https://en.wikipedia.org/wiki/History_of_Islam;;;
Carolingian dynasty;;613;1122;;;Europe;;Europe;;Family;History;;;;;1410;901;509;70;2023;https://en.wikipedia.org/wiki/Carolingian_dynasty;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Charlemagne_autograph.svg/1920px-Charlemagne_autograph.svg.png;;
Shia and Sunni Islam;;632;2023;;;;;;;Religion;History;;;;;1391;0;1391;69;2023;https://en.wikipedia.org/wiki/Origin_of_Shia_Islam;;;
Umayyad Caliphate;;661;750;;;;;;;Unit;History;;;;;1362;1273;89;68;2023;https://en.wikipedia.org/wiki/Umayyad_Caliphate;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Umayyad_Caliphate_750_AD_%28orthographic_projection%29.svg/1920px-Umayyad_Caliphate_750_AD_%28orthographic_projection%29.svg.png;;
Charles Martel;;676;741;;;Belgium;;Europe;;Person;History;;;;;1347;1282;65;67;2023;https://en.wikipedia.org/wiki/Charles_Martel;https://upload.wikimedia.org/wikipedia/commons/f/f2/Charles_Martel_01.jpg;;
Settlement of Madagascar;Humans (Asian settlers) reach Madagascar;700;;;;Madagascar;;Africa;;Event;History;;;;;1323;;;66;2023;https://www.britannica.com/place/Madagascar/History#:~:text=reached%20Madagascar%20about-,700%20CE,-.%20Although%20the%20huge;https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Spreading_homo_sapiens_la.svg/2880px-Spreading_homo_sapiens_la.svg.png;;
Umayyad conquest of Iberia (Hispania);;711;718;;;Iberia;;Europe;;Event;History;;;;;1312;1305;7;65;2023;https://en.wikipedia.org/wiki/Umayyad_conquest_of_Hispania;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/El_rey_Don_Rodrigo_arengando_a_sus_tropas_en_la_batalla_de_Guadalete_%28Museo_del_Prado%29.jpg/1920px-El_rey_Don_Rodrigo_arengando_a_sus_tropas_en_la_batalla_de_Guadalete_%28Museo_del_Prado%29.jpg;;
Al-Andalus;;711;1492;;;;;;;Unit;History;;;;;1312;531;781;65;2023;https://en.wikipedia.org/wiki/Al-Andalus;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Al-Andalus732.svg/1920px-Al-Andalus732.svg.png;;
Reconquista;;718;1492;;;Iberia;;Europe;;Event;History;;;;;1305;531;774;65;2023;;;;
Charlemagne;;747;814;;;Germany;;Europe;;Person;History;;;;;1276;1209;67;63;2023;https://en.wikipedia.org/wiki/Charlemagne;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Aachen_Domschatz_Bueste1.jpg/1920px-Aachen_Domschatz_Bueste1.jpg;;
Islamic Golden Age;;789;1258;;;Middle East;;Asia;;Period;History;;;;;1234;765;469;61;2023;https://en.wikipedia.org/wiki/Islamic_Golden_Age;https://upload.wikimedia.org/wikipedia/commons/2/2a/Astrolabe_planisf%C3%A9rique_closeup800x600x300.jpg;;
Khmer Empire;;802;1431;;;Southeast Asia;;Asia;;Unit;History;;;;;1221;592;629;61;2023;https://en.wikipedia.org/wiki/Khmer_Empire;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Khmer_Empire_Expansion_%28cropped1%29.png/1920px-Khmer_Empire_Expansion_%28cropped1%29.png;;
Cyril and Methodius;Baptized the Slavs;826;885;;;Byzantine Empire;;Europe, Asia;;Person;History;;;;;1197;1138;59;59;2023;https://en.wikipedia.org/wiki/Cyril_and_Methodius;https://upload.wikimedia.org/wikipedia/commons/7/75/Sv_Kiril_Metodij_Zahari_Zograf_Trojanski_mon_1848.jpg;;
Kievan Rus';;882;1240;;;Eastern Europe;;Europe;;Unit;History;;;;;1141;783;358;57;2023;https://en.wikipedia.org/wiki/Kievan_Rus%27;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Location_of_Kyivan_Rus.png/1920px-Location_of_Kyivan_Rus.png;;
Oleg of Novgorod (reign);;882;912;;;Eastern Europe;;Europe;;Person;History;;;;;1141;1111;30;57;2023;https://en.wikipedia.org/wiki/Oleg_of_Novgorod;https://upload.wikimedia.org/wikipedia/commons/b/b0/Oleg_of_Novgorod.jpg;;
Postclassic Maya;;950;1539;;;Mesoamerica;;;;Unit;History;;;;;1073;484;589;53;2023;https://en.wikipedia.org/wiki/Maya_civilization#:~:text=Pet%C3%A9n.%5B76%5D-,Postclassic%20period%20(c.%20950%E2%80%931539%20AD),-See%20also%3A;;;
Château de Doué-la-Fontaine;Oldest standing castle in Europe;950;2023;;;France;;Europe;;Event;History;;;;;1073;0;1073;53;2023;https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Dou%C3%A9-la-Fontaine;https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/W0436-DoueLaFontaine_MoteCarolingienne_63340.JPG/1920px-W0436-DoueLaFontaine_MoteCarolingienne_63340.JPG;;
Song dynasty;;960;1279;;;China;;Asia;;Unit;History;;;;;1063;744;319;53;2023;https://en.wikipedia.org/wiki/Song_dynasty;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/China_-_Song_Dynasty-en.svg/1920px-China_-_Song_Dynasty-en.svg.png;;
Holy Roman Empire;;962;1806;;;Central Europe;;Europe;;Unit;History;;;;;1061;217;844;53;2023;https://en.wikipedia.org/wiki/Holy_Roman_Empire;https://upload.wikimedia.org/wikipedia/commons/c/c2/HRR.gif;;
Norse Greenland;;985;1500;;;Greenland;;;;Unit;History;;;;;1038;523;515;51;2023;https://en.wikipedia.org/wiki/History_of_Greenland#Norse_Settlement:~:text=settlement.%5B23%5D-,Norse%20failure,-%5Bedit%5D;https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Hvalsey_Church.jpg/1920px-Hvalsey_Church.jpg;;
L'Anse aux Meadows;First Norse colony in North America;1014;;;;Newfoundland;;North America;;Event;History;;;;;1009;;;50;2023;https://en.wikipedia.org/wiki/L%27Anse_aux_Meadows#:~:text=carbon%20date%20of-,1014,-%2C%5B3%5D;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/L%27AnseAuxMeadowsModel.jpg/1920px-L%27AnseAuxMeadowsModel.jpg;;
Eastern Orthodox Church;;1054;2023;;;;;Europe;;Religion;History;;;;;969;0;969;48;2023;https://en.wikipedia.org/wiki/Eastern_Orthodox_Church;https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Church_of_St._George%2C_Istanbul_%28August_2010%29.jpg/1920px-Church_of_St._George%2C_Istanbul_%28August_2010%29.jpg;;
Holy Land crusades (8);;1095;1291;;;Levant;;Asia;;Event;History;;;;;928;732;196;46;2023;https://en.wikipedia.org/wiki/Crusades#:~:text=sea%22.%5B16%5D-,Crusades%20and%20the%20Holy%20Land%2C%201095%E2%80%931291,-See%20also%3A;https://upload.wikimedia.org/wikipedia/commons/f/f5/Combat_deuxi%C3%A8me_croisade.jpg;;
Genghis Khan;;1162;1227;;;Mongolia;;Asia;;Person;History;;;;;861;796;65;43;2023;https://en.wikipedia.org/wiki/Genghis_Khan;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/YuanEmperorAlbumGenghisPortrait.jpg/440px-YuanEmperorAlbumGenghisPortrait.jpg;;
Mongol Empire;;1206;1368;;;;;Eurasia;;Unit;History;;;;;817;655;162;40;2023;https://en.wikipedia.org/wiki/Mongol_Empire;https://upload.wikimedia.org/wikipedia/commons/b/bc/Mongol_Empire_map_2.gif;;
Golden Horde;;1242;1502;;;Central Asia, Eastern Europe;;Eurasia;;Unit;History;;;;;781;521;260;39;2023;https://en.wikipedia.org/wiki/Golden_Horde;https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/GoldenHorde.png/1920px-GoldenHorde.png;;
Ars cantus mensurabilis;Modern musical notation begins to develop;1250;;Cologne;;Germany;;Europe;;Event;History;;;;;773;;;38;2023;https://en.wikipedia.org/wiki/Musical_notation#:~:text=Ars%20cantus%20mensurabilis;;;
Summer Canon;Earliest known musical composition featuring (six-part) polyphony;1261;;;;England;;Europe;;Event;History;;;;;762;;;38;2023;https://en.wikipedia.org/wiki/Sumer_is_icumen_in;https://upload.wikimedia.org/wikipedia/commons/7/78/Sumer_is_icumen_in_-_Summer_Canon_%28Reading_Rota%29_%28mid_13th_C%29%2C_f.11v_-_BL_Harley_MS_978.jpg;;
Habsburg Monarchy;;1282;1918;;;Central Europe;;Europe;;Family;History;;;;;741;105;636;37;2023;https://en.wikipedia.org/wiki/Habsburg_monarchy;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Habsburg_Hereditary_Lands_%281789%29.svg/1920px-Habsburg_Hereditary_Lands_%281789%29.svg.png;;
The Ottoman Empire;;1299;1922;;;;;Europe, Asia;;Unit;History;;;;;724;101;623;36;2023;https://en.wikipedia.org/wiki/Ottoman_Empire;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/OttomanEmpireMain.png/1920px-OttomanEmpireMain.png;;
Renaissance;;1300;1600;;;;;Europe;;Period;History;;;;;723;423;300;36;2023;https://en.wikipedia.org/wiki/Renaissance;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg/1920px-%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg;;
;Hundred Years' War (France v. England);1337;1453;;;France, Great Britain, Iberia;;Europe;;Event;History;;;;;686;570;116;34;2023;;;;
Black Death;;1346;1353;;;World;;;;Event;History;;;;;677;670;7;33;2023;https://en.wikipedia.org/wiki/Black_Death;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/1346-1353_spread_of_the_Black_Death_in_Europe_map.svg/1920px-1346-1353_spread_of_the_Black_Death_in_Europe_map.svg.png;;
Settlement of New Zealand;Humans (Polynesians) reach New Zealand;1350;;;;New Zealand;;;;Event;History;;;;;673;;;33;2023;https://en.wikipedia.org/wiki/History_of_New_Zealand#:~:text=between%201320%20and-,1350,-CE%2C%20when%20the;https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Spreading_homo_sapiens_la.svg/2880px-Spreading_homo_sapiens_la.svg.png;;
Ming dynasty;;1368;1644;;;China;;Asia;;Unit;History;;;;;655;379;276;32;2023;https://en.wikipedia.org/wiki/Ming_dynasty;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ming_Empire_cca_1580_%28en%29.svg/1920px-Ming_Empire_cca_1580_%28en%29.svg.png;;
Renaissance music;;1400;1600;;;;;Europe;;Period;History;;;;;623;423;200;31;2023;;;;
;Joan of Arc;1412;1431;;;Northeastern France;;Europe;;Person;History;;;;;611;592;19;30;2023;;;;
Vlad the Impaler;;1428;1476;;;Romania;;Europe;;Person;History;;;;;595;547;48;29;2023;https://en.wikipedia.org/wiki/Vlad_the_Impaler;https://upload.wikimedia.org/wikipedia/commons/a/af/Vlad_Tepes_002.jpg;;
Inca Empire;;1438;1572;;;;;South America;;Unit;History;;;;;585;451;134;29;2023;https://en.wikipedia.org/wiki/Inca_Empire;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Tawantinsuyu_%28orthographic_projection%29.svg/1920px-Tawantinsuyu_%28orthographic_projection%29.svg.png;;
Vlad the Impaler (reign);"Vlad III; cruel Romanian (Wallachian voivode) ruler known for torturing his foes incl. the Ottomans";1448;1476;;;Romania;;Europe;;Person;History;;;;;575;547;28;28;2023;https://en.wikipedia.org/wiki/Vlad_the_Impaler;https://upload.wikimedia.org/wikipedia/commons/a/af/Vlad_Tepes_002.jpg;;
Christopher Columbus;;1451;1506;;;Spain;;Europe;;Person;History;;;;;572;517;55;28;2023;https://en.wikipedia.org/wiki/Christopher_Columbus;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Portrait_of_a_Man%2C_Said_to_be_Christopher_Columbus.jpg/440px-Portrait_of_a_Man%2C_Said_to_be_Christopher_Columbus.jpg;;
Leonardo da Vinci;;1452;1519;Vinci;;Italy;;Europe;;Person;History;;;;;571;504;67;28;2023;https://en.wikipedia.org/wiki/Leonardo_da_Vinci;https://upload.wikimedia.org/wikipedia/commons/c/cb/Francesco_Melzi_-_Portrait_of_Leonardo.png;;
Fall of Constantinople;;1453;;Istanbul;;Turkey;;;;Event;History;;;;;570;;;28;2023;https://en.wikipedia.org/wiki/Fall_of_Constantinople;https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Byz1453.png/1920px-Byz1453.png;;
Vasco da Gama;First European to reach India by sea;1460;1524;;;Portugal;;Europe;;Person;History;;;;;563;499;64;28;2023;https://en.wikipedia.org/wiki/Vasco_da_Gama;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Ignoto_portoghese%2C_ritratto_di_un_cavaliere_dell%27ordine_di_cristo%2C_1525-50_ca._02.jpg/440px-Ignoto_portoghese%2C_ritratto_di_un_cavaliere_dell%27ordine_di_cristo%2C_1525-50_ca._02.jpg;;
;Sengoku period in Japan: social upheaval and near-constant civil war;1467;1590;;;Japan;;Asia;;Event;History;;;;;556;433;123;27;2023;;;;
Niccol? Machiavelli;;1469;1527;Florence;;Italy;;Europe;;Person;History;;;;;554;496;58;27;2023;https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli;https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Portrait_of_Niccol%C3%B2_Machiavelli.jpg/1920px-Portrait_of_Niccol%C3%B2_Machiavelli.jpg;;
Nicolaus Copernicus;;1473;1543;;;Thorn;;Europe;;Person;History;;;;;550;480;70;27;2023;https://en.wikipedia.org/wiki/Nicolaus_Copernicus;https://upload.wikimedia.org/wikipedia/commons/f/f2/Nikolaus_Kopernikus.jpg;;
Michelangelo;;1475;1564;;;Capresse;;Europe;;Person;History;;;;;548;459;89;27;2023;https://en.wikipedia.org/wiki/Michelangelo;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg/440px-Michelangelo_Daniele_da_Volterra_%28dettaglio%29.jpg;;
Martin Luther;;1483;1546;;;Eisleben;;Europe;;Person;History;;;;;540;477;63;27;2023;https://en.wikipedia.org/wiki/Martin_Luther;https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Lucas_Cranach_d.%C3%84._-_Martin_Luther%2C_1528_%28Veste_Coburg%29.jpg/1280px-Lucas_Cranach_d.%C3%84._-_Martin_Luther%2C_1528_%28Veste_Coburg%29.jpg;;
Discovery of America;;1492;;;;;;;;Event;History;;;;;531;;;26;2023;;;;
John Calvin;;1509;1564;;;Noyon;;Europe;;Person;History;;;;;514;459;55;25;2023;https://en.wikipedia.org/wiki/John_Calvin;https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/John_Calvin_Museum_Catharijneconvent_RMCC_s84_cropped.png/440px-John_Calvin_Museum_Catharijneconvent_RMCC_s84_cropped.png;;
Reformation;;1517;1648;;;;;Europe;;Period;History;;;;;506;375;131;25;2023;https://en.wikipedia.org/wiki/Reformation;https://upload.wikimedia.org/wikipedia/commons/4/43/Luther_at_the_Diet_of_Worms.jpg;;
Ninety-five theses;;1517;;;;Germany;;Europe;;Event;History;;;;;506;;;25;2023;https://en.wikipedia.org/wiki/Ninety-five_Theses;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Luther_95_Thesen.png/1920px-Luther_95_Thesen.png;;
Protestantism;;1517;2023;;;;;Europe;;Religion;History;;;;;506;0;506;25;2023;https://en.wikipedia.org/wiki/Protestantism;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Lutherstadt_Wittenberg_09-2016_photo06.jpg/1920px-Lutherstadt_Wittenberg_09-2016_photo06.jpg;;
Magellan expedition;First voyage around the world (Ferdinand Magellan);1519;1522;;;World;;;;Event;History;;;;;504;501;3;25;2023;https://en.wikipedia.org/wiki/Magellan_expedition;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Magellan_Elcano_Circumnavigation-en.svg/1920px-Magellan_Elcano_Circumnavigation-en.svg.png;;
Calvinism;;1519;;;;Switzerland;;Europe;;Religion;History;;;;;504;;;25;2023;https://en.wikipedia.org/wiki/History_of_Calvinism;https://upload.wikimedia.org/wikipedia/commons/0/03/Leading_Theologians_of_the_Middle_Ages.jpg;;
Suleiman the Magnificent (reign);;1520;1566;;;Trabzon;;Europe;;Person;History;;;;;503;457;46;25;2023;https://en.wikipedia.org/wiki/Suleiman_the_Magnificent;https://upload.wikimedia.org/wikipedia/commons/e/e9/EmperorSuleiman.jpg;;
Prussia;;1525;1947;;;Germany, Poland;;Europe;;Unit;History;;;;;498;76;422;24;2023;https://en.wikipedia.org/wiki/Prussia;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kingdom_of_Prussia_1870.svg/1920px-Kingdom_of_Prussia_1870.svg.png;;
Transatlantic slave trade;;1526;1808;;;World;;;;Period;History;;;;;497;215;282;24;2023;https://en.wikipedia.org/wiki/Atlantic_slave_trade;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Marchands_d%27esclaves_de_Gor%C3%A9e-Jacques_Grasset_de_Saint-Sauveur_mg_8526.jpg/1920px-Marchands_d%27esclaves_de_Gor%C3%A9e-Jacques_Grasset_de_Saint-Sauveur_mg_8526.jpg;;
Mughal Empire;;1526;1857;;;;South Asia;Asia;;Unit;History;;;;;497;166;331;24;2023;https://en.wikipedia.org/wiki/Mughal_Empire;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg/2560px-Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg;;
Siege of Vienna (1529);;1529;;;;Vienna;;Europe;;Event;History;;;;;494;;;24;2023;https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529);https://upload.wikimedia.org/wikipedia/commons/f/f6/Siegeofvienna1529.jpg;;
Anglicanism;;1534;2023;;;England;;Europe;;Religion;History;;;;;489;0;489;24;2023;https://en.wikipedia.org/wiki/Anglicanism;https://upload.wikimedia.org/wikipedia/commons/1/1f/Canterbury-cathedral-wyrdlight.jpg;;
Scientific Revolution;;1543;1687;;;;;Europe;;Period;History;;;;;480;336;144;24;2023;https://en.wikipedia.org/wiki/Scientific_Revolution;https://upload.wikimedia.org/wikipedia/commons/3/3c/Nikolaus_Kopernikus_2.jpg;;
Puritans;;1558;1740;;;Europe, North America;;Europe;;;History;;;;;465;283;182;23;2023;https://en.wikipedia.org/wiki/Puritans#History;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Puritan_by_Augustus_Saint-Gaudens_-_Springfield%2C_Massachusetts_-_DSC02513.JPG/1280px-The_Puritan_by_Augustus_Saint-Gaudens_-_Springfield%2C_Massachusetts_-_DSC02513.JPG;;
Galileo Galilei;;1564;1642;;;Pisa;;Europe;;Person;History;;;;;459;381;78;22;2023;https://en.wikipedia.org/wiki/Galileo_Galilei;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Justus_Sustermans_-_Portrait_of_Galileo_Galilei%2C_1636.jpg/440px-Justus_Sustermans_-_Portrait_of_Galileo_Galilei%2C_1636.jpg;;
Polish-Lithuanian Commonwealth;;1569;1795;;;Eastern Europe;;Europe;;Unit;History;;;;;454;228;226;22;2023;https://en.wikipedia.org/wiki/Polish%E2%80%93Lithuanian_Commonwealth;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Rzeczpospolita_1619_-_1621.png/1920px-Rzeczpospolita_1619_-_1621.png;;
Baroque music;;1580;1750;;;;;Europe;;Period;History;;;;;443;273;170;22;2023;https://en.wikipedia.org/wiki/Baroque_music;https://upload.wikimedia.org/wikipedia/commons/5/50/Baschenis_-_Musical_Instruments.jpg;;
Common practice period (music);;1580;1910;;;;;Europe;;Period;History;;;;;443;113;330;22;2023;;;;
Gregorian calendar;;1582;2023;;;;;;;Event;History;;;;;441;0;441;22;2023;https://en.wikipedia.org/wiki/Gregorian_calendar;https://upload.wikimedia.org/wikipedia/commons/5/50/Gregory_XIII.jpg;;
René Descartes;;1596;1650;;;France;;Europe;;Person;History;;;;;427;373;54;21;2023;https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes;https://upload.wikimedia.org/wikipedia/commons/7/73/Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg;;
Baroque guitar;;1600;1750;;;Europe;;Europe;;Event;History;;;;;423;273;150;21;2023;https://en.wikipedia.org/wiki/Baroque_guitar;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Guitar_MET_DP232758.jpg/1920px-Guitar_MET_DP232758.jpg;;
East India Company;;1600;1874;;;World;;;;Company;History;;;;;423;149;274;21;2023;https://en.wikipedia.org/wiki/East_India_Company;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_the_British_East_India_Company_%281801%29.svg/1920px-Flag_of_the_British_East_India_Company_%281801%29.svg.png;;
Edo period;Edo (Tokugawa) period in Japan: military gov. rule, isolationism, growth, peace, art;1603;1867;;;Japan;;Asia;;Period;History;;;;;420;156;264;21;2023;;;;
Discovery of Australia;;1606;;;;;;;;Event;History;;;;;417;;;20;2023;;;;
Thirteen Colonies;;1607;1776;;;United States;;North America;;Unit;History;;;;;416;247;169;20;2023;https://en.wikipedia.org/wiki/Thirteen_Colonies;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Map_of_territorial_growth_1775.svg/1920px-Map_of_territorial_growth_1775.svg.png;;
Jamestown;The Jamestown settlement in the Colony of Virginia—first permanent English settlement in the Americas;1607;;;;Virginia;;;;Event;History;;;;;416;;;20;2023;https://en.wikipedia.org/wiki/Jamestown,_Virginia;https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/1639_Jamestown_Church_%282883847775%29.jpg/1920px-1639_Jamestown_Church_%282883847775%29.jpg;The first permanent English settlement in North America is established by the Virginia Company at Jamestown, Virginia. This initiates migration to the colonies.;
American frontier (Wild West);;1607;1912;;;United States;;;;Period;History;;;;;416;111;305;20;2023;https://en.wikipedia.org/wiki/American_frontier;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/The_Cow_Boy_1888.jpg/1920px-The_Cow_Boy_1888.jpg;;
Mayflower;Pilgrims arrive in Cape Cod and found the Plymouth colony;1620;;;;Cape Cod;;;;Event;History;;;;;403;;;20;2023;https://en.wikipedia.org/wiki/Mayflower;https://upload.wikimedia.org/wikipedia/commons/9/9d/Copyrighted_and_Published_by_A_S_Burbank%2C_The_Mayflower_at_Sea_%28NBY_21340%29.jpg;;
Plymouth Colony;First permanent English colony in New England (Puritans);1620;1691;;;New England;;;;Event;History;;;;;403;332;71;20;2023;https://en.wikipedia.org/wiki/Plymouth_Colony;https://upload.wikimedia.org/wikipedia/commons/0/0c/Plymouth_Colony_seal.png;;
Puritans colonize North America;;1630;;;;North America;;;;Event;History;;;;;393;;;19;2023;https://en.wikipedia.org/wiki/History_of_the_Puritans_in_North_America;https://upload.wikimedia.org/wikipedia/commons/7/78/Statue_of_Roger_Conant.jpg;;
John Locke;;1632;1704;;;Wington;;;;Person;History;;;;;391;319;72;19;2023;https://en.wikipedia.org/wiki/John_Locke;https://upload.wikimedia.org/wikipedia/commons/b/b8/John_Locke.jpg;;
Qing dynasty;;1636;1912;;;China;;Asia;;Unit;History;;;;;387;111;276;19;2023;https://en.wikipedia.org/wiki/Qing_dynasty;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Qing_dynasty_in_1760.svg/1920px-Qing_dynasty_in_1760.svg.png;;
Harvard University;Puritans found Harvard 6 years after coming to Boston;1636;2023;Cambridge;Massachussetts;United States;;North America;;Event;History;;;;;387;0;387;19;2023;https://en.wikipedia.org/wiki/Harvard_University;https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Harvard_shield_wreath.svg/1920px-Harvard_shield_wreath.svg.png;;
Isaac Newton;;1643;1727;;;England;;;;Person;History;;;;;380;296;84;19;2023;https://en.wikipedia.org/wiki/Isaac_Newton;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Portrait_of_Sir_Isaac_Newton%2C_1689.jpg/1920px-Portrait_of_Sir_Isaac_Newton%2C_1689.jpg;;
Quakers;;1650;2023;;;England;;;;Religion;History;;;;;373;0;373;18;2023;https://en.wikipedia.org/wiki/Quakers;https://upload.wikimedia.org/wikipedia/commons/6/63/George_Fox.jpg;;
Peter the Great (reign);;1682;1725;;;Russia;;;;Person;History;;;;;341;298;43;17;2023;https://en.wikipedia.org/wiki/Peter_the_Great;https://upload.wikimedia.org/wikipedia/commons/2/23/J.-M._Nattier_%28d%27apr%C3%A8s%29_-_Portrait_de_Pierre_Ier_%28mus%C3%A9e_de_l%E2%80%99Ermitage%29.jpg;;
Age of Enlightenment;;1685;1815;;;Europe;;;;Period;History;;;;;338;208;130;16;2023;https://en.wikipedia.org/wiki/Age_of_Enlightenment;https://upload.wikimedia.org/wikipedia/commons/c/cb/Salon_de_Madame_Geoffrin.jpg;;
Johann Sebastian Bach;;1685;1750;;;Eisenach;;;;Person;History;;;;;338;273;65;16;2023;https://en.wikipedia.org/wiki/Johann_Sebastian_Bach;https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg;;
George Frideric Handel;;1685;1759;;;Halle;;;;Person;History;;;;;338;264;74;16;2023;https://en.wikipedia.org/wiki/George_Frideric_Handel;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/George_Frideric_Handel_by_Balthasar_Denner.jpg/1920px-George_Frideric_Handel_by_Balthasar_Denner.jpg;;
Voltaire;;1694;1778;;;Paris;;;;Person;History;;;;;329;245;84;16;2023;https://en.wikipedia.org/wiki/Voltaire;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Nicolas_de_Largilli%C3%A8re%2C_Fran%C3%A7ois-Marie_Arouet_dit_Voltaire_adjusted.png/440px-Nicolas_de_Largilli%C3%A8re%2C_Fran%C3%A7ois-Marie_Arouet_dit_Voltaire_adjusted.png;;
